"Date","Country","Region","Total confirmed cases","New cases","Total deaths","New deaths"
"2020-05-13","United Kingdom","England",140275,50,29673.0,413.0
"2020-05-12","United Kingdom","England",140225,429,29260.0,603.0
"2020-05-11","United Kingdom","England",139796,951,28657.0,190.0
"2020-05-10","United Kingdom","England",138845,663,28467.0,217.0
"2020-05-09","United Kingdom","England",138182,879,28250.0,283.0
"2020-05-08","United Kingdom","England",137303,1037,27967.0,535.0
"2020-05-07","United Kingdom","England",136266,1452,27432.0,424.0
"2020-05-06","United Kingdom","England",134814,1402,27008.0,567.0
"2020-05-05","United Kingdom","England",133412,1605,26441.0,656.0
"2020-05-04","United Kingdom","England",131807,1624,25785.0,257.0
"2020-05-03","United Kingdom","England",130183,979,25528.0,246.0
"2020-05-02","United Kingdom","England",129204,1254,25282.0,519.0
"2020-05-01","United Kingdom","England",127950,1956,24763.0,653.0
"2020-04-30","United Kingdom","England",125994,2111,24110.0,560.0
"2020-04-29","United Kingdom","England",123883,2365,23550.0,632.0
"2020-04-28","United Kingdom","England",121518,2283,22918.0,869.0
"2020-04-27","United Kingdom","England",119235,2217,22049.0,307.0
"2020-04-26","United Kingdom","England",117018,1398,21742.0,343.0
"2020-04-25","United Kingdom","England",115620,1818,21399.0,741.0
"2020-04-24","United Kingdom","England",113802,2777,20658.0,824.0
"2020-04-23","United Kingdom","England",111025,2758,19834.0,603.0
"2020-04-22","United Kingdom","England",108267,2772,19231.0,739.0
"2020-04-21","United Kingdom","England",105495,2981,18492.0,1122.0
"2020-04-20","United Kingdom","England",102514,3080,17370.0,539.0
"2020-04-19","United Kingdom","England",99434,2087,16831.0,384.0
"2020-04-18","United Kingdom","England",97347,2568,16447.0,1011.0
"2020-04-17","United Kingdom","England",94779,3432,15436.0,826.0
"2020-04-16","United Kingdom","England",91347,3446,14610.0,907.0
"2020-04-15","United Kingdom","England",87901,3632,13703.0,732.0
"2020-04-14","United Kingdom","England",84269,3441,12971.0,1010.0
"2020-04-13","United Kingdom","England",80828,3343,11961.0,694.0
"2020-04-12","United Kingdom","England",77485,2694,11267.0,606.0
"2020-04-11","United Kingdom","England",74791,3005,10661.0,745.0
"2020-04-10","United Kingdom","England",71786,3525,9916.0,1038.0
"2020-04-09","United Kingdom","England",68261,4030,8878.0,987.0
"2020-04-08","United Kingdom","England",64231,4264,7891.0,924.0
"2020-04-07","United Kingdom","England",59967,4495,6967.0,1010.0
"2020-04-06","United Kingdom","England",55472,4337,5957.0,532.0
"2020-04-05","United Kingdom","England",51135,3028,5425.0,578.0
"2020-04-04","United Kingdom","England",48107,3321,4847.0,689.0
"2020-04-03","United Kingdom","England",44786,4036,4158.0,655.0
"2020-04-02","United Kingdom","England",40750,4012,3503.0,603.0
"2020-04-01","United Kingdom","England",36738,4075,2900.0,613.0
"2020-03-31","United Kingdom","England",32663,3749,2287.0,368.0
"2020-03-30","United Kingdom","England",28914,3477,1919.0,353.0
"2020-03-29","United Kingdom","England",25437,2437,1566.0,195.0
"2020-03-28","United Kingdom","England",23000,2375,1371.0,279.0
"2020-03-27","United Kingdom","England",20625,2652,1092.0,272.0
"2020-03-26","United Kingdom","England",17973,2610,820.0,169.0
"2020-03-25","United Kingdom","England",15363,2261,651.0,177.0
"2020-03-24","United Kingdom","England",13102,2018,474.0,143.0
"2020-03-23","United Kingdom","England",11084,2017,331.0,67.0
"2020-03-22","United Kingdom","England",9067,1206,264.0,24.0
"2020-03-21","United Kingdom","England",7861,1033,240.0,54.0
"2020-03-20","United Kingdom","England",6828,1081,186.0,32.0
"2020-03-19","United Kingdom","England",5747,931,154.0,42.0
"2020-03-18","United Kingdom","England",4816,910,112.0,33.0
"2020-03-17","United Kingdom","England",3906,680,79.0,15.0
"2020-03-16","United Kingdom","England",3226,546,64.0,22.0
"2020-03-15","United Kingdom","England",2680,396,42.0,14.0
"2020-03-14","United Kingdom","England",2284,315,28.0,18.0
"2020-03-13","United Kingdom","England",1969,391,10.0,1.0
"2020-03-12","United Kingdom","England",1578,421,9.0,2.0
"2020-03-11","United Kingdom","England",1157,365,7.0,0.0
"2020-03-10","United Kingdom","England",792,225,7.0,4.0
"2020-03-09","United Kingdom","England",567,125,3.0,1.0
"2020-03-08","United Kingdom","England",442,50,2.0,0.0
"2020-03-07","United Kingdom","England",392,47,2.0,1.0
"2020-03-06","United Kingdom","England",345,73,1.0,""
"2020-03-05","United Kingdom","England",272,47,"",""
"2020-03-04","United Kingdom","England",225,49,"",""
"2020-03-03","United Kingdom","England",176,51,"",""
"2020-03-02","United Kingdom","England",125,39,"",""
"2020-03-01","United Kingdom","England",86,31,"",""
"2020-02-29","United Kingdom","England",55,4,"",""
"2020-02-28","United Kingdom","England",51,12,"",""
"2020-02-27","United Kingdom","England",39,6,"",""
"2020-02-26","United Kingdom","England",33,3,"",""
"2020-02-25","United Kingdom","England",30,4,"",""
"2020-02-24","United Kingdom","England",26,1,"",""
"2020-02-23","United Kingdom","England",25,4,"",""
"2020-02-21","United Kingdom","England",21,1,"",""
"2020-02-19","United Kingdom","England",20,1,"",""
"2020-02-17","United Kingdom","England",19,1,"",""
"2020-02-16","United Kingdom","England",18,1,"",""
"2020-02-14","United Kingdom","England",17,1,"",""
"2020-02-13","United Kingdom","England",16,1,"",""
"2020-02-12","United Kingdom","England",15,1,"",""
"2020-02-11","United Kingdom","England",14,1,"",""
"2020-02-09","United Kingdom","England",13,1,"",""
"2020-02-08","United Kingdom","England",12,3,"",""
"2020-02-05","United Kingdom","England",9,1,"",""
"2020-02-03","United Kingdom","England",8,6,"",""
"2020-01-31","United Kingdom","England",2,1,"",""
"2020-01-30","United Kingdom","England",1,1,"",""
