"Date","Country","Region","Total confirmed cases","New cases","Total deaths","New deaths"
"2020-04-08","United Kingdom","England",54427,236,6483.0,828.0
"2020-04-07","United Kingdom","England",54191,1244,5655.0,758.0
"2020-04-06","United Kingdom","England",52947,2764,4897.0,403.0
"2020-04-05","United Kingdom","England",50183,2670,4494.0,555.0
"2020-04-04","United Kingdom","England",47513,3169,3939.0,637.0
"2020-04-03","United Kingdom","England",44344,3864,3302.0,604.0
"2020-04-02","United Kingdom","England",40480,3856,2698.0,532.0
"2020-04-01","United Kingdom","England",36624,4054,2166.0,515.0
"2020-03-31","United Kingdom","England",32570,3747,1651.0,367.0
"2020-03-30","United Kingdom","England",28823,3473,1284.0,159.0
"2020-03-29","United Kingdom","England",25350,2425,1125.0,199.0
"2020-03-28","United Kingdom","England",22925,2361,926.0,247.0
"2020-03-27","United Kingdom","England",20564,2665,679.0,""
"2020-03-26","United Kingdom","England",17899,2617,"",""
"2020-03-25","United Kingdom","England",15282,2236,"",""
"2020-03-24","United Kingdom","England",13046,2018,"",""
"2020-03-23","United Kingdom","England",11028,2003,"",""
"2020-03-22","United Kingdom","England",9025,1204,"",""
"2020-03-21","United Kingdom","England",7821,1034,"",""
"2020-03-20","United Kingdom","England",6787,1073,"",""
"2020-03-19","United Kingdom","England",5714,929,"",""
"2020-03-18","United Kingdom","England",4785,899,"",""
"2020-03-17","United Kingdom","England",3886,675,"",""
"2020-03-16","United Kingdom","England",3211,543,"",""
"2020-03-15","United Kingdom","England",2668,396,"",""
"2020-03-14","United Kingdom","England",2272,317,"",""
"2020-03-13","United Kingdom","England",1955,390,"",""
"2020-03-12","United Kingdom","England",1565,417,"",""
"2020-03-11","United Kingdom","England",1148,361,"",""
"2020-03-10","United Kingdom","England",787,222,"",""
"2020-03-09","United Kingdom","England",565,125,"",""
"2020-03-08","United Kingdom","England",440,50,"",""
"2020-03-07","United Kingdom","England",390,47,"",""
"2020-03-06","United Kingdom","England",343,74,"",""
"2020-03-05","United Kingdom","England",269,47,"",""
"2020-03-04","United Kingdom","England",222,48,"",""
"2020-03-03","United Kingdom","England",174,52,"",""
"2020-03-02","United Kingdom","England",122,40,"",""
"2020-03-01","United Kingdom","England",82,30,"",""
"2020-02-29","United Kingdom","England",52,3,"",""
"2020-02-28","United Kingdom","England",49,11,"",""
"2020-02-27","United Kingdom","England",38,6,"",""
"2020-02-26","United Kingdom","England",32,3,"",""
"2020-02-25","United Kingdom","England",29,3,"",""
"2020-02-24","United Kingdom","England",26,1,"",""
"2020-02-23","United Kingdom","England",25,5,"",""
"2020-02-21","United Kingdom","England",20,1,"",""
"2020-02-19","United Kingdom","England",19,1,"",""
"2020-02-13","United Kingdom","England",18,1,"",""
"2020-02-12","United Kingdom","England",17,1,"",""
"2020-02-11","United Kingdom","England",16,1,"",""
"2020-02-09","United Kingdom","England",15,1,"",""
"2020-02-08","United Kingdom","England",14,4,"",""
"2020-02-05","United Kingdom","England",10,1,"",""
"2020-02-03","United Kingdom","England",9,6,"",""
"2020-01-31","United Kingdom","England",3,1,"",""
"2020-01-30","United Kingdom","England",2,2,"",""
