"Date","Country","Region","Total confirmed cases","New cases","Total deaths","New deaths"
"2020-04-13","United Kingdom","England",73183,104,10261.0,667.0
"2020-04-12","United Kingdom","England",73079,831,9594.0,657.0
"2020-04-11","United Kingdom","England",72248,2154,8937.0,823.0
"2020-04-10","United Kingdom","England",70094,3160,8114.0,866.0
"2020-04-09","United Kingdom","England",66934,3654,7248.0,765.0
"2020-04-08","United Kingdom","England",63280,4043,6483.0,828.0
"2020-04-07","United Kingdom","England",59237,4339,5655.0,758.0
"2020-04-06","United Kingdom","England",54898,4175,4897.0,403.0
"2020-04-05","United Kingdom","England",50723,3005,4494.0,555.0
"2020-04-04","United Kingdom","England",47718,3219,3939.0,637.0
"2020-04-03","United Kingdom","England",44499,3907,3302.0,604.0
"2020-04-02","United Kingdom","England",40592,3875,2698.0,532.0
"2020-04-01","United Kingdom","England",36717,4067,2166.0,515.0
"2020-03-31","United Kingdom","England",32650,3751,1651.0,367.0
"2020-03-30","United Kingdom","England",28899,3481,1284.0,159.0
"2020-03-29","United Kingdom","England",25418,2444,1125.0,199.0
"2020-03-28","United Kingdom","England",22974,2370,926.0,247.0
"2020-03-27","United Kingdom","England",20604,2665,679.0,""
"2020-03-26","United Kingdom","England",17939,2624,"",""
"2020-03-25","United Kingdom","England",15315,2252,"",""
"2020-03-24","United Kingdom","England",13063,2020,"",""
"2020-03-23","United Kingdom","England",11043,2004,"",""
"2020-03-22","United Kingdom","England",9039,1209,"",""
"2020-03-21","United Kingdom","England",7830,1036,"",""
"2020-03-20","United Kingdom","England",6794,1074,"",""
"2020-03-19","United Kingdom","England",5720,932,"",""
"2020-03-18","United Kingdom","England",4788,899,"",""
"2020-03-17","United Kingdom","England",3889,678,"",""
"2020-03-16","United Kingdom","England",3211,544,"",""
"2020-03-15","United Kingdom","England",2667,396,"",""
"2020-03-14","United Kingdom","England",2271,317,"",""
"2020-03-13","United Kingdom","England",1954,391,"",""
"2020-03-12","United Kingdom","England",1563,415,"",""
"2020-03-11","United Kingdom","England",1148,361,"",""
"2020-03-10","United Kingdom","England",787,222,"",""
"2020-03-09","United Kingdom","England",565,125,"",""
"2020-03-08","United Kingdom","England",440,50,"",""
"2020-03-07","United Kingdom","England",390,47,"",""
"2020-03-06","United Kingdom","England",343,74,"",""
"2020-03-05","United Kingdom","England",269,47,"",""
"2020-03-04","United Kingdom","England",222,48,"",""
"2020-03-03","United Kingdom","England",174,51,"",""
"2020-03-02","United Kingdom","England",123,40,"",""
"2020-03-01","United Kingdom","England",83,30,"",""
"2020-02-29","United Kingdom","England",53,4,"",""
"2020-02-28","United Kingdom","England",49,11,"",""
"2020-02-27","United Kingdom","England",38,6,"",""
"2020-02-26","United Kingdom","England",32,3,"",""
"2020-02-25","United Kingdom","England",29,3,"",""
"2020-02-24","United Kingdom","England",26,1,"",""
"2020-02-23","United Kingdom","England",25,5,"",""
"2020-02-21","United Kingdom","England",20,1,"",""
"2020-02-19","United Kingdom","England",19,1,"",""
"2020-02-13","United Kingdom","England",18,1,"",""
"2020-02-12","United Kingdom","England",17,1,"",""
"2020-02-11","United Kingdom","England",16,1,"",""
"2020-02-09","United Kingdom","England",15,1,"",""
"2020-02-08","United Kingdom","England",14,4,"",""
"2020-02-05","United Kingdom","England",10,1,"",""
"2020-02-03","United Kingdom","England",9,6,"",""
"2020-01-31","United Kingdom","England",3,1,"",""
"2020-01-30","United Kingdom","England",2,2,"",""
